T,EC,VWC,Emisi
32.775,0,0.2441,4.166666667
33.025,0,0.243475,4.686666667
33.225,0,0.243125,5.07
33.075,0,0.242475,4.31
32.3,0,0.241325,3.946666667
31.5,0,0.2406,4.12
30.7,0,0.24,3.98
29.95,0,0.2393,3.82
29.375,0,0.2392,3.756666667
28.95,0,0.2392,3.65
28.55,0,0.23885,3.663333333
28.3,0,0.238775,3.626666667
28.075,0,0.23885,3.633333333
27.85,0,0.23895,3.596666667
27.725,0,0.2387,3.493333333
27.625,0,0.2393,3.56
27.525,0,0.2393,3.57
27.375,0,0.239125,3.596666667
29.625,0.01,0.2828,3.786666667
31.85,0.01,0.28035,5.453333333
31.36666667,0.01,0.275966667,5.043333333
30.775,0.01,0.2725,4.706666667
30.275,0.01,0.269775,4.453333333
29.5,0.01,0.265825,4.32
28.8,0.01,0.263825,4.083333333
28.275,0.01,0.2612,4.036666667
27.75,0.01,0.259025,3.936666667
27.35,0.01,0.257075,3.943333333
27,0.01,0.256375,3.843333333
26.775,0.01,0.255875,3.826666667
26.625,0.0075,0.25515,3.813333333
26.4,0.01,0.25475,3.7
26.225,0.01,0.2536,3.59
26.1,0.01,0.252725,3.333333333
25.925,0.01,0.2524,3.6
25.975,0.01,0.25305,3.41
26.825,0.01,0.2556,3.886666667
27.925,0.01,0.259875,4.783333333
28.975,0.01,0.261725,5.046666667
30.425,0.01,0.264725,4.693333333
31.775,0.01,0.267825,4.563333333
31.8,0.01,0.265475,4.086666667
31.1,0.005,0.263325,3.953333333
31.275,0.01,0.262475,4.036666667
31.23333333,0.006666667,0.2619,4.053333333
31.125,0.005,0.260875,3.703333333
30.5,0.0025,0.25885,3.67
29.7,0,0.255875,3.603333333
29.025,0,0.253575,3.523333333
28.475,0,0.25185,3.71
27.975,0,0.251025,3.613333333
27.55,0,0.250325,3.73
27.2,0,0.249625,3.583333333
26.85,0,0.2491,3.456666667
26.575,0,0.248825,3.426666667
26.3,0,0.2485,3.643333333
26.05,0,0.2482,3.543333333
25.95,0,0.2479,3.596666667
25.825,0,0.247875,3.54
25.975,0,0.248375,3.756666667
26.825,0.0025,0.24955,3.946666667
28.15,0.01,0.2523,3.993333333
29.775,0.01,0.2563,4.113333333
30.875,0.0025,0.258375,4.156666667
31.725,0,0.25895,3.986666667
31.5,0,0.25795,4.086666667
31.275,0,0.256675,3.99
32.025,0,0.2581,4.216666667
28.375,0.01,0.25615,4.6
30.625,0.01,0.261625,4.653333333
32.6,0.01,0.26515,4.856666667
34.4,0.01,0.267625,4.966666667
34.6,0.01,0.2661,4.796666667
34.85,0.01,0.26515,4.856666667
34.425,0.01,0.26125,4.75
34.1,0.01,0.258975,4.793333333
33.15,0.01,0.256225,4.77
32.05,0.01,0.2533,4.826666667
31.1,0.005,0.25145,4.726666667
30.45,0.01,0.2498,4.52
29.875,0.0075,0.249275,4.616666667
29.45,0.0075,0.248825,4.696666667
29.1,0.0025,0.248725,4.683333333
28.8,0.0025,0.248675,4.24
28.45,0,0.2482,4.176666667
28.05,0,0.24805,4.476666667
27.7,0,0.24785,4.316666667
27.5,0,0.2477,4.163333333
27.275,0,0.247525,4.076666667
27.05,0,0.247275,4.643333333
27.175,0,0.247525,4.58
27.575,0,0.24815,4.62
28.875,0.0075,0.24935,4.366666667
30.4,0.01,0.25145,5.13
31.45,0.01,0.2523,4.77
32.225,0.005,0.25265,4.696666667
33.025,0.01,0.252975,4.623333333
33.275,0.01,0.252025,4.48
33.05,0.01,0.25085,4.536666667
32.4,0.01,0.24945,4.446666667
31.95,0,0.246175,4.936666667
31.65,0,0.245575,4.476666667
31.275,0,0.244875,4.24
30.525,0,0.244,3.98
29.85,0,0.243825,3.9
29.35,0,0.243375,3.856666667
28.95,0,0.2433,3.8
28.45,0,0.2432,3.843333333
28.075,0,0.242775,3.776666667
27.775,0,0.242775,3.753333333
27.5,0,0.24285,3.73
27.2,0,0.2424,3.783333333
27,0,0.242575,3.71
26.825,0,0.2425,3.71
26.65,0,0.2422,3.693333333
26.45,0,0.2423,3.82
26.65,0,0.242875,4.1
27.375,0,0.24375,4.32
28.5,0,0.24405,4.48
30.225,0,0.245025,4.313333333
31.675,0,0.2452,4.27
32.25,0,0.244925,4.206666667
32.125,0,0.244425,4.336666667
32.5,0,0.24355,4.17
32.525,0,0.24265,4.213333333
32.35,0,0.2424,3.726666667
31.7,0,0.241675,3.56
30.9,0,0.240875,3.533333333
30.125,0,0.240325,3.513333333
29.5,0,0.2399,3.653333333
28.975,0,0.239925,3.576666667
28.55,0,0.2395,3.303333333
28.15,0,0.239575,3.6
27.775,0,0.239475,3.536666667
27.5,0,0.239225,3.693333333
27.4,0,0.239375,3.826666667
27.3,0,0.23955,3.736666667
27.1,0,0.2395,3.72
26.875,0,0.239575,3.72
26.65,0,0.23955,3.626666667
26.625,0,0.23965,3.743333333
27.025,0,0.24,3.736666667
28.025,0,0.240675,4.126666667
34.275,0,0.24175,5.42
34.325,0.0025,0.24025,4.49
33.725,0.01,0.238675,4.203333333
33.25,0.01,0.2379,4.023333333
32.6,0.01,0.2369,3.896666667
31.85,0.01,0.236625,3.843333333
31.15,0.01,0.23575,3.82
30.6,0.01,0.235825,3.6
30.15,0.01,0.235575,3.603333333
29.75,0.01,0.235575,3.516666667
29.35,0.01,0.2354,3.63
29.05,0.01,0.235475,3.666666667
28.775,0.01,0.235475,3.526666667
28.55,0.01,0.2354,3.633333333
28.35,0.01,0.235675,3.55
28.075,0.01,0.235675,3.763333333
27.85,0.01,0.2355,3.533333333
27.7,0.0075,0.23575,3.82
27.85,0.0025,0.235825,3.923333333
28.45,0,0.236025,4.233333333
29.275,0,0.236625,4.61
30.8,0,0.2371,4.833333333
32.325,0.005,0.2371,5.003333333
33.55,0.01,0.236825,5.116666667
34.25,0.01,0.23585,4.983333333
34.125,0.01,0.23395,4.736666667
34.025,0.01,0.2328,4.65
33.625,0.01,0.23155,4.136666667
33,0.01,0.230825,3.94
32.15,0.01,0.2301,3.94
31.2,0.01,0.229975,3.796666667
30.525,0.01,0.2299,3.863333333
29.9,0.01,0.22955,3.63
29.375,0.01,0.229725,3.573333333
28.875,0.01,0.229475,3.41
28.45,0.01,0.2295,3.653333333
28.15,0.01,0.22935,3.543333333
27.75,0.01,0.2292,3.526666667
27.45,0.01,0.2293,3.516666667
27.175,0.01,0.2293,3.603333333
26.925,0.01,0.229475,3.72
26.9,0.01,0.229725,3.683333333
27.075,0.01,0.229825,3.683333333
27.7,0.01,0.230625,4.15
28.85,0.01,0.2307,4.396666667
30.4,0.01,0.231525,4.486666667
32.075,0.01,0.2318,4.636666667
33.425,0.01,0.231175,4.576666667
34.025,0.01,0.22975,4.563333333
34.1,0.01,0.22845,4.546666667
34,0.01,0.227275,4.29
33.6,0.01,0.226475,4
32.9,0.01,0.22575,3.82
32.1,0.01,0.225475,3.78
31.3,0.01,0.224725,3.87
30.675,0.01,0.225025,3.69
30.125,0.01,0.224825,3.513333333
29.6,0.01,0.224725,3.513333333
29.075,0.01,0.224525,3.526666667
28.65,0.01,0.2243,3.633333333
28.25,0.01,0.22455,3.503333333
27.975,0.01,0.224825,3.506666667
27.725,0.01,0.22455,3.556666667
27.5,0.01,0.2248,3.493333333
27.35,0.01,0.2251,3.39
27.15,0.01,0.2254,3.603333333
27.275,0.01,0.225575,3.836666667
27.95,0.01,0.2264,4.36
29.075,0.01,0.226925,4.28
30.575,0.01,0.227725,4.433333333
31.9,0.01,0.22735,4.443333333
33.2,0.01,0.22675,4.63
33.775,0.01,0.22555,4.473333333
33.85,0.01,0.223725,4.28
33.775,0.01,0.222625,4.303333333
33.425,0.01,0.2217,4.076666667
32.8,0.01,0.2209,3.793333333
31.975,0.01,0.22025,3.74
31.1,0.01,0.220225,3.71
30.375,0.01,0.219975,3.65
29.75,0.01,0.220125,3.42
29.2,0.01,0.22,3.536666667
28.75,0.01,0.22015,3.426666667
28.35,0.01,0.22015,3.373333333
27.95,0.01,0.219975,3.48
27.65,0.01,0.220175,3.416666667
27.375,0.01,0.2204,3.503333333
27.15,0.01,0.22025,3.426666667
26.95,0.01,0.220325,3.503333333
26.825,0.01,0.220225,3.44
27.05,0.01,0.2205,3.743333333
27.6,0.01,0.220975,3.983333333
28.6,0.01,0.2218,4.406666667
29.925,0.01,0.222075,4.886666667
31.25,0.01,0.222075,5.01
32.6,0.01,0.221425,5.186666667
33.375,0.01,0.21995,5.013333333
33.4,0.01,0.218375,4.496666667
33.25,0.01,0.217175,4.446666667
32.85,0.01,0.21645,4.25
32.3,0.01,0.216375,3.85
31.6,0.01,0.2161,3.873333333
30.85,0.01,0.2158,3.746666667
30.3,0.01,0.216,3.616666667
29.9,0.01,0.2162,3.756666667
29.6,0.01,0.2161,3.68
29.25,0.01,0.21635,3.803333333
29.05,0.01,0.216375,3.75
28.95,0.01,0.216825,4.22
28.825,0.01,0.2168,3.686666667
28.65,0.01,0.2171,3.97
28.45,0.01,0.2172,3.913333333
28.225,0.01,0.217575,4.253333333
27.975,0.01,0.217625,4.38
27.775,0.01,0.217725,4.6
27.85,0.01,0.2182,4.7
28.5,0.01,0.2188,4.6
28.7,0.01,0.219,4.45
28.9,0.01,0.2189,4.416666667
29.075,0.01,0.219,4.25
29.225,0.01,0.219,4.05
29.3,0.01,0.219,4.04
29.15,0.01,0.2192,3.86
28.675,0.01,0.2191,3.733333333
28.25,0.01,0.219,3.66
27.85,0.01,0.2191,3.726666667
27.475,0.01,0.2192,3.686666667
27.25,0.01,0.2192,3.553333333
27.05,0.01,0.2194,3.626666667
26.825,0.01,0.2197,3.73
26.575,0.01,0.2194,3.966666667
26.425,0.01,0.2197,3.55
26.3,0.01,0.22005,3.46
26.225,0.01,0.219875,3.33
26.3,0.01,0.22015,3.276666667
26.3,0.01,0.2204,3.47
26.425,0.01,0.2207,3.603333333
26.575,0.01,0.2217,3.933333333
26.725,0.01,0.2218,3.966666667
27.625,0.01,0.222175,4.2
28.925,0.01,0.223625,4.393333333
30.525,0.01,0.223625,4.57
31.125,0.01,0.2228,4.493333333
31.5,0.01,0.221425,4.483333333
31.65,0.01,0.220075,4.133333333
31.45,0.01,0.2196,3.963333333
30.95,0.01,0.2191,3.603333333
30.2,0.01,0.21885,3.68
29.475,0.01,0.2189,3.733333333
29.05,0.01,0.2191,3.646666667
28.775,0.01,0.2192,3.476666667
28.525,0.01,0.2195,3.616666667
28.25,0.01,0.2196,3.67
27.925,0.01,0.2196,3.603333333
27.65,0.01,0.220075,3.433333333
27.4,0.01,0.21995,3.433333333
27.1,0.01,0.220225,3.596666667
26.8,0.01,0.219975,3.35
26.6,0.01,0.220325,3.513333333
26.6,0.01,0.220325,3.356666667
26.775,0.01,0.2207,3.38
27.425,0.01,0.221325,3.753333333
28.65,0.01,0.2218,4.45
29.825,0.01,0.222,4.403333333
30.85,0.01,0.2218,4.62
31.825,0.01,0.2208,4.23
31.875,0.01,0.22015,4.6
32.275,0.01,0.2188,4.353333333
32.325,0.01,0.2182,4.27
32.375,0.01,0.217475,3.906666667
31.925,0.01,0.217375,3.806666667
31.1,0.01,0.2168,3.786666667
30.45,0.01,0.217,3.763333333
29.875,0.01,0.2167,3.606666667
29.35,0.01,0.2169,3.5
28.85,0.01,0.217,3.536666667
28.525,0.01,0.21675,3.553333333
28.15,0.01,0.217,3.856666667
27.75,0.01,0.217375,3.576666667
27.45,0.01,0.2172,3.433333333
27.125,0.01,0.217625,3.226666667
26.825,0.01,0.21755,3.546666667
26.6,0.01,0.217475,3.59
26.425,0.01,0.2174,3.683333333
26.575,0.01,0.218025,3.403333333
27.45,0.01,0.218725,3.7
28.8,0.01,0.2195,3.73
30.3,0.01,0.219125,3.94
31.8,0.01,0.218625,4
32.825,0.01,0.217625,3.85
32.6,0.01,0.216625,3.783333333
31.8,0.01,0.2161,3.52
30.9,0.01,0.2159,3.813333333
30.65,0.0125,0.2157,3.776666667
30.25,0.0125,0.2161,3.536666667
29.6,0.0175,0.2161,3.433333333
28.975,0.01,0.216,3.4
28.55,0.0175,0.216375,3.46
28.15,0.02,0.216475,3.413333333
27.75,0.02,0.2162,3.436666667
27.45,0.02,0.2162,3.366666667
27.175,0.02,0.2161,3.406666667
26.975,0.0175,0.216075,3.383333333
26.8,0.015,0.216375,3.48
26.65,0.015,0.216375,3.2
26.6,0.01,0.21635,3.313333333
26.475,0.01,0.21645,3.203333333
26.325,0.01,0.2167,3.656666667
26.375,0.01,0.2168,3.763333333
27.35,0.01,0.2182,3.71
28.975,0.01,0.218725,3.913333333
30.575,0.01,0.218725,4.216666667
32.15,0.01,0.217725,4.243333333
33.4,0.01,0.21625,4.656666667
33.725,0.01,0.21485,4.72
33.175,0.0175,0.2137,4.05
32.225,0.02,0.2131,3.973333333
31.4,0.02,0.2131,3.916666667
30.725,0.02,0.2129,3.603333333
30.1,0.02,0.2131,3.576666667
29.55,0.02,0.213,3.51
29.15,0.02,0.213175,3.37
28.75,0.02,0.213275,3.53
28.5,0.02,0.213525,3.32
28.25,0.02,0.213625,3.38
28.025,0.02,0.214,3.323333333
27.85,0.02,0.2138,3.57
27.7,0.02,0.2142,3.58
27.6,0.02,0.2139,3.603333333
27.525,0.02,0.214375,4.49
27.325,0.02,0.2155,4.23
27.1,0.02,0.214475,4.18
27,0.02,0.2146,4.306666667
27.15,0.02,0.21485,4.236666667
27.5,0.01,0.2155,4.273333333
28.875,0.01,0.21755,2.89
29.675,0.01,0.218625,3.84
30.25,0.01,0.2193,4.073333333
30.45,0.01,0.2195,4.036666667
30.25,0.01,0.2192,3.79
29.65,0.01,0.218725,3.633333333
29.1,0.01,0.218575,3.566666667
28.65,0.01,0.2184,3.48
28.25,0.01,0.2183,3.363333333
27.925,0.01,0.2185,3.436666667
27.675,0.01,0.2184,3.426666667
27.35,0.01,0.218475,3.343333333
27.025,0.01,0.21865,3.356666667
26.8,0.01,0.21865,3.053333333
26.6,0.01,0.218725,3.356666667
26.35,0.01,0.21875,3.003333333
26.125,0.01,0.2189,3.25
25.925,0.01,0.218475,3.436666667
25.975,0.01,0.2192,3.633333333
26.425,0.01,0.2197,3.683333333
27.2,0.01,0.2204,3.606666667
28.175,0.01,0.22125,3.963333333
29.425,0.01,0.221675,4.36
31.25,0.01,0.2205,4.71
31.825,0.01,0.220425,4.59
32.025,0.01,0.22005,4.5
31.8,0.01,0.219875,4.36
31.3,0.01,0.2194,4.183333333
30.7,0.01,0.219,4.066666667
29.9,0.01,0.219,3.973333333
29.25,0.01,0.2191,3.893333333
28.7,0.01,0.219,3.726666667
28.2,0.01,0.219,3.69
27.875,0.01,0.2192,3.693333333
27.6,0.01,0.2192,3.723333333
27.45,0.01,0.2193,3.736666667
27.35,0.01,0.2198,3.923333333
27.275,0.01,0.2199,3.82
29.3,0.03,0.27745,5.546666667
31.525,0.0275,0.275325,5.533333333
31.675,0.02,0.273575,5.166666667
31.425,0.02,0.27135,4.86
30.9,0.02,0.26895,4.396666667
30.2,0.02,0.266225,4.263333333
29.425,0.02,0.2634,3.98
28.775,0.02,0.261725,3.993333333
28.2,0.02,0.26045,3.713333333
27.75,0.02,0.25945,3.616666667
27.35,0.02,0.258625,3.716666667
27,0.02,0.258,3.616666667
26.65,0.02,0.2569,3.686666667
26.35,0.02,0.25645,3.506666667
26.075,0.02,0.2559,3.41
25.85,0.02,0.2547,3.506666667
25.775,0.02,0.25485,3.383333333
24.675,0.02,0.2507,3.416666667
25.95,0.02,0.255625,3.526666667
26.475,0.02,0.256975,3.823333333
27.15,0.02,0.259125,3.736666667
27.575,0.02,0.2602,4.106666667
28.5,0.02,0.262825,4.883333333
29.625,0.02,0.263675,5.16
30.125,0.02,0.261375,4.88
30.675,0.02,0.260125,4.73
30.975,0.02,0.259125,4.386666667
30.525,0.02,0.256725,4.043333333
29.825,0.02,0.25435,3.976666667
29.175,0.02,0.251525,3.966666667
28.575,0.02,0.25085,3.896666667
28,0.02,0.249275,3.76
27.4,0.02,0.2491,3.773333333
26.95,0.02,0.248575,3.743333333
26.6,0.02,0.248575,3.75
26.375,0.015,0.248325,3.78
26.225,0.015,0.24805,3.886666667
26.125,0.0125,0.248125,3.723333333
26,0.01,0.24795,3.733333333
25.9,0.01,0.247975,3.58
24.775,0.01,0.2478,3.566666667
25.6,0.01,0.247875,3.566666667
25.775,0.01,0.247875,3.473333333
26.65,0.0125,0.24885,3.69
28.175,0.01,0.250675,4.136666667
29.925,0.01,0.25185,4.16
31.2,0.01,0.250775,4.353333333
31.85,0.01,0.24945,4.413333333
32.25,0.01,0.24865,4.286666667
32.4,0.01,0.2478,4.076666667
32.35,0.01,0.247375,4.07
32.15,0.01,0.246525,3.956666667
31.7,0.01,0.24635,3.826666667
31,0.01,0.245725,3.793333333
30.275,0.01,0.24505,3.793333333
29.625,0.01,0.2446,3.816666667
29.15,0.01,0.24425,3.613333333
27.6,0.01,0.2441,3.683333333
28.375,0.01,0.239975,3.673333333
28.05,0.01,0.240525,3.686666667
27.7,0.01,0.244,3.726666667
26.3,0.01,0.2398,3.53
27.125,0.01,0.243475,3.616666667
26.8,0.01,0.243475,3.426666667
26.525,0.01,0.243,3.623333333
26.275,0.01,0.24305,3.48
26.425,0.01,0.243375,3.613333333
27.3,0.01,0.24425,3.85
28.55,0.01,0.2454,4.16
30,0.01,0.24575,4.07
31.425,0.01,0.245225,4.24
32.475,0.01,0.244425,4.18
33.075,0.01,0.2432,4.34
33.125,0.01,0.2424,4.046666667
32.375,0.01,0.241475,4.083333333
31.8,0.01,0.240975,3.686666667
31.3,0.01,0.2406,3.703333333
30.725,0.01,0.240525,3.716666667
30.2,0.01,0.24025,3.706666667
29.75,0.01,0.2401,3.586666667
29.35,0.01,0.2402,3.596666667
29.05,0.01,0.2401,3.61
28.8,0.01,0.2399,3.77
28.525,0.01,0.2398,3.653333333
28.25,0.01,0.23975,4.39
27.975,0.01,0.23965,3.573333333
27.7,0.01,0.239575,3.526666667
27.4,0.01,0.2395,3.513333333
27.15,0.01,0.2394,3.58
26.925,0.01,0.2395,3.573333333
26.975,0.01,0.239375,3.543333333
27.425,0.01,0.24035,3.73
28.275,0.01,0.240525,4.073333333
29.9,0.01,0.240975,4.286666667
31.425,0.01,0.24035,4.356666667
32.15,0.01,0.239625,4.183333333
32.125,0.01,0.23825,4.38
32.55,0.01,0.23765,4.42
32.85,0.01,0.2369,4.223333333
32.55,0.01,0.235925,4.14
32.025,0.01,0.235675,4.04
31.4,0.01,0.235475,4
30.75,0.01,0.2353,3.923333333
30.2,0.01,0.235325,3.813333333
29.725,0.01,0.23515,3.893333333
29.325,0.01,0.2352,3.826666667
28.95,0.01,0.2353,3.586666667
28.575,0.01,0.235225,3.776666667
28.25,0.01,0.235225,3.696666667
27.975,0.01,0.235125,3.786666667
27.7,0.01,0.234875,3.523333333
27.5,0.01,0.235125,3.6
27.275,0.01,0.2347,3.36
27.1,0.01,0.235333333,3.95
27.25,0.01,0.235575,3.753333333
27.8,0.01,0.23575,3.696666667
28.6,0.01,0.2363,4.43
29.875,0.01,0.236,4.673333333
31.675,0.01,0.2354,4.456666667
32.875,0.01,0.2337,4.5
33.05,0.01,0.23215,4.05
32.85,0.01,0.231,4.086666667
32.8,0.01,0.23035,4.15
32.7,0.01,0.229725,4.066666667
32.2,0.01,0.2292,3.873333333
31.5,0.01,0.2289,3.83
30.825,0.01,0.2288,3.823333333
30.2,0.01,0.2292,3.793333333
29.65,0.01,0.2289,3.746666667
29.225,0.01,0.2288,3.866666667
28.85,0.01,0.2289,3.506666667
28.45,0.01,0.2293,3.536666667
28.15,0.01,0.2291,3.573333333
27.775,0.01,0.2292,3.71
27.475,0.01,0.2291,3.563333333
27.175,0.01,0.2291,3.37
26.9,0.01,0.2291,3.36
26.65,0.01,0.229,3.813333333
26.8,0.01,0.2292,3.853333333
27.675,0.01,0.23,4.063333333
28.95,0.01,0.2309,3.91
29.975,0.01,0.230875,4.193333333
31.45,0.01,0.2299,4.22
32.65,0.01,0.228375,4.443333333
33.125,0.01,0.22665,4.7
33.625,0.01,0.225275,4.496666667
33.6,0.01,0.224,4.32
33.2,0.01,0.2228,3.966666667
32.575,0.01,0.22225,3.853333333
31.8,0.01,0.222,3.746666667
31.05,0.01,0.2222,3.796666667
30.4,0.01,0.222175,3.8
29.875,0.01,0.2221,3.673333333
29.5,0.01,0.2217,3.513333333
29.15,0.01,0.2226,3.486666667
28.825,0.01,0.222175,3.653333333
28.45,0.01,0.222275,3.816666667
28.15,0.01,0.22225,3.596666667
27.9,0.01,0.222375,3.793333333
27.725,0.01,0.222425,3.493333333
27.55,0.01,0.222425,3.623333333
27.6,0.01,0.2229,3.463333333
27.775,0.01,0.223275,3.603333333
28.425,0.01,0.22345,3.71
29.3,0.01,0.224275,3.916666667
30.325,0.01,0.2243,4.173333333
31.975,0.01,0.223725,4.133333333
25.75,0.045,0.26215,2.73
27.275,0.0375,0.266225,3.72
27.975,0.03,0.26615,4.26
28.375,0.03,0.267,4.423333333
28.4,0.03,0.2679,4.27
28.275,0.0225,0.267075,4.136666667
28,0.02,0.266075,3.933333333
27.675,0.02,0.263975,3.9
27.4,0.02,0.264975,3.99
27.2,0.02,0.264475,4.023333333
27.025,0.02,0.264075,3.873333333
26.85,0.02,0.262725,3.933333333
26.725,0.02,0.262575,3.83
26.55,0.02,0.261025,3.903333333
26.375,0.02,0.26095,3.853333333
26.275,0.02,0.260775,3.866666667
26.2,0.02,0.260625,3.866666667
26.2,0.02,0.260025,3.816666667
26.3,0.02,0.260825,4.073333333
26.75,0.02,0.26115,4.013333333
27.65,0.02,0.2651,4.446666667
28.775,0.02,0.266325,4.84
32.6,0.01,0.26555,5.27
27.4,0.03,0.29875,3.64
27.225,0.03,0.2982,3.71
27.05,0.03,0.29665,3.653333333
26.875,0.03,0.297575,3.6
26.75,0.03,0.29605,3.71
26.6,0.03,0.296575,3.616666667
26.425,0.03,0.2946,3.59
26.3,0.03,0.2941,3.586666667
26.375,0.03,0.2939,3.836666667
26.9,0.03,0.29515,4.286666667
27.85,0.03,0.318875,4.373333333
27.6,0.03,0.3173,4.336666667
27.4,0.03,0.317225,4.296666667
27.2,0.03,0.315775,4.376666667
27,0.03,0.313925,4.25
26.8,0.03,0.312275,4.363333333
26.65,0.03,0.311625,4.46
26.625,0.03,0.3114,4.576666667
27.1,0.03,0.31015,4.69
27.975,0.03,0.3116,4.853333333
28.9,0.03,0.311625,5.233333333
30.275,0.03,0.31,5.76
32.075,0.0225,0.308875,6.136666667
32.875,0.02,0.304775,5.953333333
32.725,0.02,0.30095,5.843333333
32.925,0.02,0.297975,5.783333333
32.85,0.02,0.294775,5.283333333
32.325,0.02,0.2925,5.036666667
31.6,0.02,0.2899,5.03
30.925,0.02,0.286425,4.896666667
30.325,0.02,0.28575,4.86
29.8,0.02,0.283975,4.676666667
29.35,0.02,0.28225,4.6
28.95,0.02,0.28145,4.533333333
28.65,0.02,0.2808,4.453333333
28.325,0.02,0.28025,4.5
28.05,0.02,0.279,4.283333333
27.85,0.02,0.27825,4.616666667
27.65,0.02,0.278225,4.486666667
27.55,0.02,0.2772,4.373333333
27.35,0.02,0.27735,4.54
27.475,0.02,0.278025,4.703333333
28.125,0.02,0.279225,4.97
29.45,0.02,0.280275,5.123333333
31.075,0.02,0.2784,5.263333333
32.075,0.0125,0.277375,5.516666667
34.125,0.01,0.26915,5.713333333
34.1,0.01,0.26705,5.753333333
34.075,0.01,0.263725,5.566666667
33.725,0.01,0.261475,5.27
33.1,0.01,0.260025,5.03
32.3,0.01,0.2575,5.016666667
31.65,0.01,0.256975,4.866666667
31.025,0.01,0.256225,4.623333333
30.55,0.01,0.2557,4.596666667
30.15,0.01,0.25435,4.686666667
29.75,0.01,0.254,4.396666667
29.35,0.01,0.253775,4.273333333
28.975,0.01,0.2529,4.33
28.675,0.01,0.2523,4.573333333
28.45,0.01,0.252475,4.456666667
28.25,0.01,0.252125,4.286666667
28.05,0.01,0.2516,4.24
27.825,0.01,0.251875,4.26
27.9,0.01,0.252275,4.433333333
28.6,0.01,0.2539,4.46
29.525,0.01,0.2552,4.806666667
30.975,0.01,0.253575,4.8
33.775,0.01,0.247625,5.643333333
33.625,0.01,0.246775,5.31
33.225,0.01,0.245925,5.256666667
32.5,0.01,0.2454,4.866666667
31.75,0.01,0.2452,4.746666667
31.1,0.01,0.244925,4.91
30.525,0.01,0.244875,4.69
30,0.01,0.244425,4.593333333
29.55,0.01,0.2447,4.676666667
29.15,0.01,0.244325,4.413333333
28.75,0.01,0.244325,4.336666667
28.45,0.01,0.244175,4.303333333
28.125,0.01,0.2438,4.2
27.8,0.01,0.2438,4.216666667
27.55,0.01,0.2438,4.04
27.3,0.01,0.2452,4.066666667
27.125,0.01,0.24555,4.31
27.25,0.01,0.244975,4.406666667
28.025,0.01,0.241325,4.58
31.875,0.01,0.239925,5.29
34.15,0.01,0.241775,5.626666667
35.525,0.01,0.243375,5.57
36.4,0.01,0.243825,5.71
36.375,0.01,0.24415,5.36
36.15,0.01,0.24415,5.246666667
35.4,0.01,0.243375,4.993333333
34.35,0.01,0.242325,4.843333333
33.1,0.01,0.241225,4.82
32.025,0.01,0.24025,4.55
31.225,0.01,0.2399,4.55
30.675,0.01,0.239575,4.466666667
30.25,0.01,0.239025,4.573333333
25.825,0.0575,0.318725,2.16
26.325,0.05,0.321275,2.313333333
26.6,0.05,0.323075,2.63
26.7,0.05,0.320475,2.92
26.7,0.05,0.318425,3.08
26.625,0.05,0.3172,3.24
26.8,0.04,0.312025,3.406666667
26.875,0.04,0.310375,3.53
26.9,0.04,0.3091,3.426666667
27.225,0.04,0.3099,4.026666667
28.45,0.04,0.316325,4.3
30.675,0.04,0.315275,5.16
32.5,0.04,0.3135,5.413333333
32.7,0.04,0.309525,5.066666667
32.15,0.04,0.30565,4.993333333
31.3,0.04,0.3014,4.67
30.25,0.04,0.298125,4.396666667
29.3,0.04,0.29485,4.376666667
28.525,0.04,0.294925,4.276666667
27.925,0.04,0.294075,4.3
27.45,0.04,0.293775,4.076666667
27.05,0.04,0.29205,4.063333333
26.675,0.04,0.2906,4.033333333
26.45,0.04,0.29145,3.99
26.25,0.04,0.29135,3.873333333
26,0.04,0.29145,3.833333333
25.75,0.04,0.292425,3.87
25.475,0.04,0.2919,3.77
25.3,0.04,0.2913,4.036666667
25.675,0.04,0.291675,4.23
27.025,0.04,0.291075,4.536666667
29.025,0.04,0.29345,5.043333333
31.325,0.04,0.2946,5.416666667
33.175,0.035,0.294375,5.436666667
34.35,0.03,0.2929,5.993333333
35.175,0.03,0.291675,5.723333333
34.625,0.03,0.28735,5.61
33.2,0.03,0.280725,5.343333333
32.2,0.03,0.2764,5.256666667
31.5,0.03,0.2739,4.956666667
30.55,0.03,0.271175,4.913333333
29.7,0.03,0.268075,4.823333333
29.025,0.03,0.2669,4.69
28.475,0.03,0.2653,4.6
28,0.03,0.264575,4.663333333
27.675,0.03,0.263325,4.716666667
27.4,0.03,0.2622,4.786666667
27.125,0.03,0.261225,4.57
26.85,0.03,0.260925,4.356666667
26.55,0.03,0.260475,4.413333333
26.275,0.03,0.2589,4.53
26.05,0.03,0.257925,4.356666667
26,0.03,0.257675,4.193333333
26.35,0.03,0.25895,4.363333333
27.475,0.03,0.26105,4.626666667
28.275,0.03,0.2629,4.53
29.925,0.03,0.266875,5.223333333
31.825,0.03,0.26995,5.483333333
32.625,0.03,0.2702,6.06
33.95,0.03,0.2728,6.096666667
34,0.03,0.27185,5.933333333
33.725,0.03,0.26995,5.956666667
33.075,0.03,0.267325,5.666666667
32.175,0.03,0.26365,5.313333333
31.2,0.03,0.2602,5.18
30.35,0.03,0.258175,5.116666667
29.775,0.03,0.2564,5.036666667
29.325,0.03,0.25605,5.14
28.9,0.03,0.25495,5.18
